cond.s.m,echo.1.3,cond.p.m,echo.p.3,cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,8.00268E-05,p,0.00024008,s,3.43413E-05,p,0.000103024
s,0.00013045,p,0.00039135,s,4.46894E-05,p,0.000134068
s,0.000109147,p,0.000327442,s,4.35153E-05,p,0.000130546
s,0.000110774,p,0.000332321,s,5.23975E-05,p,0.000157192
s,0.000124243,p,0.000372729,s,4.65612E-05,p,0.000139684
s,0.000147325,p,0.000441976,s,4.78877E-05,p,0.000143663
s,0.000125573,p,0.000376719,s,5.05871E-05,p,0.000151761
s,0.000104564,p,0.000313692,s,4.44372E-05,p,0.000133312
s,0.000126521,p,0.000379563,s,6.20369E-05,p,0.000186111
s,9.79198E-05,p,0.000293759,s,5.31899E-05,p,0.00015957
s,0.000119021,p,0.000357062,s,5.01975E-05,p,0.000150593
s,8.97937E-05,p,0.000269381,s,5.03501E-05,p,0.00015105
s,0.00012482,p,0.000374459,s,4.55341E-05,p,0.000136602
s,0.000110107,p,0.000330322,s,5.19104E-05,p,0.000155731
s,9.09865E-05,p,0.000272959,s,3.52239E-05,p,0.000105672
s,0.000123653,p,0.000370958,s,5.71167E-05,p,0.00017135
s,0.000119021,p,0.000357064,s,4.38322E-05,p,0.000131497
s,8.75099E-05,p,0.00026253,s,4.58269E-05,p,0.000137481
s,0.000116596,p,0.000349788,s,3.505E-05,p,0.00010515
s,9.41722E-05,p,0.000282517,s,4.78792E-05,p,0.000143637
s,0.0001222,p,0.0003666,s,5.81566E-05,p,0.00017447
s,0.000117502,p,0.000352507,s,3.70994E-05,p,0.000111298
s,0.000111492,p,0.000334477,s,4.85866E-05,p,0.00014576
s,9.88063E-05,p,0.000296419,s,4.80693E-05,p,0.000144208
s,0.000102796,p,0.000308388,s,5.14543E-05,p,0.000154363
s,0.000114792,p,0.000344377,s,3.81783E-05,p,0.000114535
