cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,9.94364E-05,p,0.000298309
1,0.000129003,p,0.00038701
1,9.99158E-05,p,0.000299747
1,9.97801E-05,p,0.00029934
1,0.000120146,p,0.000360437
1,0.000106661,p,0.000319984
1,0.000127478,p,0.000382433
1,0.000131321,p,0.000393964
1,0.000116353,p,0.00034906
1,9.5116E-05,p,0.000285348
1,0.000129342,p,0.000388026
1,9.8255E-05,p,0.000294765
1,0.000112256,p,0.000336769
1,0.000124387,p,0.000373161
1,0.000104653,p,0.000313958
1,0.000106519,p,0.000319556
1,0.000117957,p,0.000353871
1,0.000128402,p,0.000385207
1,9.79717E-05,p,0.000293915
1,0.00012012,p,0.000360359
1,0.000101536,p,0.000304607
1,0.000100494,p,0.000301481
1,0.000143153,p,0.00042946
1,0.00010023,p,0.000300691
1,0.000129914,p,0.000389741
1,0.000123234,p,0.000369701
1,0.000105202,p,0.000315607
1,0.000130732,p,0.000392195
1,0.000109093,p,0.00032728
1,0.000116548,p,0.000349644
1,0.000107068,p,0.000321204
1,9.8398E-05,p,0.000295194
1,0.000161104,p,0.000483311
1,0.000125815,p,0.000377446
1,0.000153517,p,0.000460552
1,0.000114271,p,0.000342814
1,0.000102505,p,0.000307514
1,0.000110262,p,0.000330786
1,0.000120427,p,0.00036128
1,0.000142241,p,0.000426723
1,9.6094E-05,p,0.000288282
1,9.5075E-05,p,0.000285225
1,0.000138329,p,0.000414988
1,0.000139272,p,0.000417816
1,0.000111441,p,0.000334324
1,8.80578E-05,p,0.000264173
1,0.000122964,p,0.000368892
1,0.000114807,p,0.000344421
1,0.000130799,p,0.000392397
1,0.00011469,p,0.00034407
1,0.000130196,p,0.000390589
1,0.000121951,p,0.000365852
1,0.000102685,p,0.000308056
1,0.000121512,p,0.000364537
1,0.000128658,p,0.000385975
1,0.000155005,p,0.000465015
1,0.000136868,p,0.000410603
1,0.000111316,p,0.000333947
1,0.000109234,p,0.000327703
1,0.000130105,p,0.000390314
1,0.000117666,p,0.000352997
1,0.000104932,p,0.000314796
1,0.000133485,p,0.000400456
1,0.000166056,p,0.000498169
1,0.000123026,p,0.000369078
1,0.000121306,p,0.000363917
1,0.000123956,p,0.000371868
1,9.93078E-05,p,0.000297923
1,0.000105734,p,0.000317201
1,0.000111412,p,0.000334237
