cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.00032454,r,0.00032454,t,0.000281198,p,0.000605738
r,0.000325606,r,0.000325606,t,0.000291366,p,0.000616972
r,0.000333078,r,0.000333078,t,0.000284279,p,0.000617357
r,0.000270531,r,0.000270531,t,0.000291056,p,0.000561587
r,0.000319908,r,0.000319908,t,0.000266548,p,0.000586456
r,0.000291243,r,0.000291243,t,0.00036577,p,0.000657013
r,0.000269083,r,0.000269083,t,0.000292812,p,0.000561895
r,0.000276954,r,0.000276954,t,0.000291876,p,0.00056883
r,0.000253227,r,0.000253227,t,0.00030562,p,0.000558847
r,0.000291511,r,0.000291511,t,0.000292999,p,0.00058451
r,0.000271303,r,0.000271303,t,0.000344262,p,0.000615565
r,0.000259826,r,0.000259826,t,0.000319898,p,0.000579724
r,0.000291546,r,0.000291546,t,0.000275344,p,0.00056689
r,0.000350388,r,0.000350388,t,0.000302773,p,0.000653161
r,0.000276034,r,0.000276034,t,0.000283167,p,0.000559201
r,0.000321984,r,0.000321984,t,0.000288889,p,0.000610873
r,0.000258426,r,0.000258426,t,0.00029622,p,0.000554646
r,0.000329357,r,0.000329357,t,0.000294137,p,0.000623494
r,0.000315706,r,0.000315706,t,0.000234278,p,0.000549984
r,0.000260088,r,0.000260088,t,0.000272667,p,0.000532755
r,0.000298194,r,0.000298194,t,0.000296012,p,0.000594206
r,0.000276362,r,0.000276362,t,0.000319448,p,0.00059581
r,0.000263792,r,0.000263792,t,0.000317999,p,0.000581791
r,0.000292833,r,0.000292833,t,0.00030833,p,0.000601163
r,0.000276433,r,0.000276433,t,0.000282191,p,0.000558624
r,0.000315959,r,0.000315959,t,0.00028774,p,0.000603699
r,0.000381692,r,0.000381692,t,0.000304803,p,0.000686495
r,0.0002579,r,0.0002579,t,0.00026634,p,0.00052424
r,0.000296704,r,0.000296704,t,0.000274103,p,0.000570807
r,0.000271057,r,0.000271057,t,0.000273314,p,0.000544371
r,0.000214952,r,0.000214952,t,0.000300189,p,0.000515141
r,0.000336139,r,0.000336139,t,0.000335377,p,0.000671516
r,0.000341888,r,0.000341888,t,0.000269982,p,0.00061187
r,0.000339417,r,0.000339417,t,0.000246961,p,0.000586378
r,0.000270698,r,0.000270698,t,0.000266839,p,0.000537537
r,0.000307868,r,0.000307868,t,0.000281391,p,0.000589259
r,0.000266187,r,0.000266187,t,0.000296079,p,0.000562266
r,0.000244284,r,0.000244284,t,0.000258937,p,0.000503221
r,0.0002081,r,0.0002081,t,0.000268829,p,0.000476929
r,0.000293691,r,0.000293691,t,0.000267802,p,0.000561493
r,0.000261821,r,0.000261821,t,0.000305212,p,0.000567033
r,0.000313017,r,0.000313017,t,0.00028832,p,0.000601337
r,0.000299766,r,0.000299766,t,0.000327114,p,0.00062688
r,0.000260083,r,0.000260083,t,0.000276681,p,0.000536764
r,0.000296763,r,0.000296763,t,0.000262114,p,0.000558877
r,0.000257776,r,0.000257776,t,0.000289634,p,0.00054741
r,0.000272186,r,0.000272186,t,0.00026113,p,0.000533316
r,0.000287763,r,0.000287763,t,0.00026015,p,0.000547913
r,0.000263259,r,0.000263259,t,0.000317163,p,0.000580422
r,0.000311545,r,0.000311545,t,0.000282502,p,0.000594047
r,0.000261013,r,0.000261013,t,0.000277919,p,0.000538932
r,0.000289327,r,0.000289327,t,0.000307384,p,0.000596711
r,0.000313234,r,0.000313234,t,0.000298126,p,0.00061136
r,0.00028609,r,0.00028609,t,0.000307264,p,0.000593354
r,0.00026081,r,0.00026081,t,0.000245049,p,0.000505859
r,0.000341048,r,0.000341048,t,0.000325682,p,0.00066673
r,0.000329902,r,0.000329902,t,0.000288252,p,0.000618154
