unstudied,tone,rhythm,both
1.02E-06,0.000976801,4.91E-05,0.000823101
9.95E-07,0.000933877,6.57E-05,0.000796793
-1.05E-06,0.000908596,8.44E-05,0.00093602
1.41E-06,0.000806685,6.29E-05,0.000862556
1.59E-06,0.000812797,6.45E-05,0.000845528
-8.12E-07,0.000931916,5.88E-05,0.000880521
2.98E-08,0.00085936,6.17E-05,0.000823918
3.44E-07,0.000838092,6.36E-05,0.000834485
5.80E-07,0.000882387,6.68E-05,0.000927415
-5.20E-07,0.000651684,6.97E-05,0.000869535
-9.78E-07,0.000753525,5.50E-05,0.000890293
2.02E-06,0.000911216,6.21E-05,0.000902467
-1.06E-07,0.000815195,6.72E-05,0.000796485
-3.95E-07,0.000714152,5.67E-05,0.000935939
2.58E-07,0.000764176,6.00E-05,0.000809456
2.65E-07,0.000866266,6.19E-05,0.000818533
-1.51E-06,0.000820405,5.76E-05,0.000919182
4.79E-07,0.000725045,5.77E-05,0.00090956
5.66E-07,0.000725516,5.77E-05,0.000829369
-6.38E-07,0.000729919,5.00E-05,0.000881672
-1.36E-06,0.000765701,7.86E-05,0.00089393
-3.14E-06,0.000846974,7.16E-05,0.000953612
5.68E-07,0.000759118,7.15E-05,0.000741892
-5.85E-07,0.000811451,5.57E-05,0.000885264
2.66E-06,0.000866442,6.85E-05,0.000764373
-4.47E-06,0.000768428,4.99E-05,0.000906605
-3.34E-06,0.000786186,7.84E-05,0.000898865
-5.35E-07,0.000877638,6.72E-05,0.000899041
8.06E-07,0.000729259,5.11E-05,0.000949369
5.40E-07,0.000852787,6.23E-05,0.000852959
2.67E-06,0.000738225,7.48E-05,0.000835944
-4.53E-07,0.000838726,8.25E-05,0.000888456
-1.04E-06,0.000865994,5.51E-05,0.000908141
1.15E-06,0.00074586,5.57E-05,0.000856584
1.39E-08,0.000937429,7.36E-05,0.000855423
-1.62E-06,0.000821322,5.79E-05,0.000756339
-1.25E-06,0.000865419,7.15E-05,0.000871942
-2.70E-06,0.000778114,6.87E-05,0.000826779
-4.27E-07,0.000928661,5.08E-05,0.000768251
2.11E-06,0.000903838,4.79E-05,0.000845016
1.46E-06,0.000932845,7.44E-05,0.001031823
-4.64E-06,0.000842934,6.46E-05,0.000782197
-5.84E-07,0.000850438,6.37E-05,0.000871796
6.48E-07,0.000572263,6.49E-05,0.000889056
3.09E-07,0.000738821,5.48E-05,0.000848402
-1.08E-06,0.000810859,5.55E-05,0.000776872
-2.15E-06,0.000783151,7.64E-05,0.000900431
7.38E-07,0.000899595,6.13E-05,0.000928133
3.50E-07,0.000828758,6.14E-05,0.000761863
3.13E-06,0.000719994,6.75E-05,0.000932727
1.90E-06,0.000824898,5.50E-05,0.000882613
-6.95E-07,0.00081963,6.33E-05,0.000884411
2.42E-06,0.000973807,6.22E-05,0.000838497
1.05E-07,0.00081003,6.09E-05,0.000768873
-3.42E-07,0.000838791,6.50E-05,0.000756594
1.33E-06,0.000641526,6.25E-05,0.000859199
8.98E-07,0.000838031,6.92E-05,0.000861949
-2.45E-06,0.000906293,6.06E-05,0.000868799
-7.00E-07,0.000915224,7.50E-05,0.000890213
4.62E-07,0.000852506,7.75E-05,0.000926543
-1.39E-07,0.000776853,7.18E-05,0.00082766
3.95E-06,0.000838807,5.64E-05,0.000910283
-2.85E-06,0.000863475,5.89E-05,0.000832867
-4.34E-07,0.000852503,6.05E-05,0.000773087
1.39E-06,0.00068572,6.85E-05,0.000771622
-3.32E-09,0.000931236,5.88E-05,0.000918861
6.39E-07,0.000723676,6.42E-05,0.000928568
1.59E-07,0.000774873,5.46E-05,0.0008863
-1.89E-06,0.000801807,7.66E-05,0.000864375
2.12E-06,0.000968513,6.11E-05,0.000849853
1.53E-06,0.000770396,6.91E-05,0.000849887
1.47E-07,0.000773601,5.66E-05,0.000855824
-1.36E-06,0.000783507,6.78E-05,0.000855425
-1.52E-06,0.000751987,5.99E-05,0.000874043
-1.11E-06,0.000677708,5.40E-05,0.000909554
-1.53E-06,0.000772479,6.63E-05,0.000855651
-1.60E-07,0.000759096,6.91E-05,0.000937045
-3.33E-06,0.000897634,5.09E-05,0.000902359
2.84E-06,0.000806732,6.84E-05,0.000767532
-7.00E-07,0.000754905,4.46E-05,0.000860545
-1.16E-06,0.000776004,6.43E-05,0.000818671
5.90E-07,0.000806495,6.80E-05,0.001010664
-7.25E-07,0.000735863,5.40E-05,0.000867336
5.75E-07,0.00079098,6.41E-05,0.000989149
1.95E-06,0.000867329,6.07E-05,0.000795739
5.16E-07,0.000764335,5.90E-05,0.000863125
-5.86E-07,0.000758854,6.48E-05,0.000892135
1.84E-06,0.000915685,6.00E-05,0.000877472
1.62E-06,0.000741232,6.10E-05,0.000908407
-4.28E-08,0.00083289,5.19E-05,0.000723488
-9.98E-07,0.000915606,7.07E-05,0.000950576
6.73E-07,0.00090359,6.94E-05,0.000881435
1.60E-06,0.000727534,5.44E-05,0.000888859
9.19E-07,0.000758218,7.90E-05,0.000954065
2.87E-06,0.000810888,5.76E-05,0.000789415
1.26E-07,0.000847431,7.82E-05,0.001058529
1.16E-07,0.000910202,6.14E-05,0.000880791
3.66E-07,0.000858964,5.22E-05,0.000829041
2.61E-07,0.000836602,6.82E-05,0.001054769
-1.61E-06,0.000753517,6.99E-05,0.001001409
-1.01E-06,0.000803155,7.04E-05,0.000762743
2.95E-06,0.000782897,6.91E-05,0.000909151
-9.00E-07,0.000698559,6.89E-05,0.00085853
2.16E-07,0.000759494,5.90E-05,0.000847511
-2.89E-06,0.000799933,5.74E-05,0.000886154
-1.92E-06,0.000849322,5.71E-05,0.000905044
3.30E-06,0.000744794,5.76E-05,0.000812753
3.70E-07,0.00076722,6.12E-05,0.000851176
1.64E-06,0.000779401,7.83E-05,0.000880289
-1.52E-06,0.000775848,7.64E-05,0.000729771
-9.14E-08,0.000714635,5.36E-05,0.000827007
-5.14E-06,0.0008834,5.64E-05,0.000937754
7.41E-07,0.000782441,6.70E-05,0.000965871
-2.60E-07,0.000871555,6.54E-05,0.000900952
-3.90E-07,0.000917741,5.20E-05,0.000901793
-1.47E-06,0.000823142,6.80E-05,0.000890138
2.34E-06,0.000795102,5.17E-05,0.000832223
-1.73E-06,0.000836756,5.79E-05,0.00085035
-2.19E-07,0.000854916,6.97E-05,0.000876814
5.70E-07,0.000681155,5.71E-05,0.000864285
2.63E-06,0.00076207,6.61E-05,0.000816573
-1.10E-06,0.000852818,6.20E-05,0.000886238
-1.17E-06,0.00086936,5.67E-05,0.000806911
-4.55E-07,0.000805526,6.15E-05,0.000970129
2.08E-06,0.000736381,6.84E-05,0.000849797
1.86E-06,0.000774733,7.20E-05,0.000884642
-2.91E-07,0.000776977,6.86E-05,0.000850415
4.71E-07,0.000786962,6.64E-05,0.000980644
